















[45.708481,9.680183]

[57.052024,9.898616]



[47.383576,8.059448]



[57.159185,-2.092362]













[34.67424,135.5058]
[53.765378,-2.371033]








[40.203525,-8.407622]





[42.783222,0.690261]
















[59.3727,18.000232]





[52.314371,4.941964]









[43.091508,-79.075677]

[32.228928,-110.946565]

[53.094504,-1.381313]



[56.116667,-3.77867]


















[55.7017521,-2.8865768]











[56.552034,-2.59158]












[51.554888,-0.108438]





[45.511177,-122.59898]





[41.8897519,-87.9889543]

[47.816282,12.998215]






[40.401724,-3.720635]




[58.19477,15.995826]



[55.469408,-4.619969]

[47.786762,3.588618]















[52.612395,4.741625]








[51.37884,-2.395078]



[41.08473,16.840135]



[43.264288,-2.950076]
[1.320227,103.890068]




[49.227031,16.58685]






[45.499068,10.272579]
[-35.282846,149.134803]


[41.380896,2.12282]









[53.804082,-1.76055]











[44.829236,-0.598309]










[38.752711,-9.184774]



[41.075949,28.766178]






[44.492308,11.309985]













[53.361448,-6.275042]








[33.495581,-86.807903]









[49.845288,18.299268]






[53.728562,-2.48945]








[53.822073,-3.05358]






[34.864959,-81.85522]





[54.870133,-6.265054]


[67.276636,14.384321]




[55.649055,12.417575]





[51.602593,-0.290677]









[53.581372,-2.536975]




[50.735329,-1.838632]



[41.162194,-8.642572]














[50.570005,-111.908015]


