[41.349824, 19.7471628]
[39.33333, -0.83333]
[39.33333, -0.83333]
[39.8221267, -88.9545478]
[39.33333, -0.83333]
[51.47592245, -0.101114417043443]
[39.33333, -0.83333]
[49.1850834, -122.8446549]
[39.33333, -0.83333]
[39.33333, -0.83333]
[39.33333, -0.83333]
[0, 0]
[0, 0]
[0, 0]
[0, 0]
[0, 0]
[44.8204702, 11.5926462191354]
[0, 0]
[57.0482206, 9.9193939]
[56.1496278, 10.2134046]
[0, 0]
[0, 0]
[47.38333705, 8.05980893192391]
[37.97945, 23.71622]
[50.1060835, 1.8337029]
[-25.1341183, 151.1290183]
[57.1452452, -2.0913745]
[37.97945, 23.71622]
[51.8204564, -3.0128494]
[36.7095788, -81.9774878]
[57.1452452, -2.0913745]
[0, 0]
[47.23135, 39.72328]
[49.2186597, -122.9756941]
[52.4143113, -4.0816846]
[57.1638059, -2.1015509]
[0, 0]
[53.7541156, -2.3655434]
[50.381258, -4.1731844]
[45.47799395, 9.12393082797131]
[53.76539395, -2.37102510396258]
[51.5081402, -0.2732607]
[-34.9274284, 138.599899]
[0, 0]
[51.3710908, -0.4895675]
[51.713353, -3.445555]
[0, 0]
[55.8831806, -3.9564941]
[55.8430377, -3.6189604]
[40.2032969, -8.40769021952037]
[52.06272045, 4.38204313266854]
[-12.7893834, 131.2340839]
[50.8381411, 4.3123401]
[52.2993449, 0.2836373]
[-25.066667, -130.1002054]
[38.9810821, -1.85214389001397]
[38.0363893, 23.7399633]
[34.675, 33.03333]
[51.7003604, -3.4290402]
[51.59099535, -3.81116572007855]
[29.654582, -95.6006135419516]
[41.66667, 2]
[48.5898424, 7.7493029]
[45.6496755, 0.1568658]
[45.1970888, 24.6614162]
[47.4739884, -0.5515588]
[47.4109205, 16.6250636]
[22.3272121, 114.189866971168]
[51.2859257, -114.0105994]
[51.2859257, -114.0105994]
[59.3726296, 18.0015773070753]
[41.72241025, -88.2178040654085]
[0, 0]
[30.324943, -81.7637549]
[0, 0]
[52.31435305, 4.94284308905399]
[55.6754735, 12.5643586]
[54.50446, 18.55252]
[0, 0]
[34.9062212, 33.6368706]
[0, 0]
[42.6407182, 23.3729053]
[0, 0]
[48.30639, 14.28611]
[37.97945, 23.71622]
[55.8607993, -4.0127486]
[55.9434481, -4.5477396]
[51.2494169, -0.7630148]
[38.8303098, -77.1964966]
[50.8235845, -0.143293]
[-37.376819, -63.7735911069295]
[52.3507123, -1.9579114]
[34.91667, 33.62917]
[56.1159886, -3.8009479]
[51.1869475, -0.613668]
[39.2235117, -123.7686251]
[40.6670439, -75.1573972]
[37.4613272, -122.197743]
[43.2111765, -76.9805232]
[36.8050308, -98.6664737]
[38.75382, -9.23083]
[39.3456283, -82.0959776]
[0, 0]
[27.23527595, 33.8356110050129]
[37.97945, 23.71622]
[43.6170137, 13.5170982]
[42.65717, -71.1408776]
[56.63529635, -2.92043954588116]
[56.666667, -2.916667]
[55.474709, -4.5223248]
[0, 0]
[54.99463985, -3.26142135962661]
[0, 0]
[54.8591735, -1.7396344]
[51.1904235, 5.1177266]
[0, 0]
[0, 0]
[0, 0]
[50.7165185, 7.1484987]
[42.051577, -82.5989234]
[34.6804128, 33.0252786]
[51.7366839, -0.4692074]
[56.5523362, -2.59147996542676]
[0, 0]
[55.021667, -7.683333]
[-37.8552, 145.02176]
[-32.02925755, 147.986843244624]
[0, 0]
[0, 0]
[40.64028, 22.94389]
[43.8366229, -79.2511578]
[53.0048394, -1.1280025]
[53.0342662, -1.12909671565021]
[0, 0]
[0, 0]
[51.55504035, -0.108399570867237]
[55.8566002, -4.3219942]
[-37.2843443, 142.930621]
[0, 0]
[53.6026754, -2.4275606]
[12.3, 41.1]
[22.5200852, 88.3253989]
[34.0641197, -84.15024]
[0, 0]
[37.1892202, -93.8390976]
[0, 0]
[52.5091264, -1.8850353312213]
[0, 0]
[47.81640615, 12.9982488279151]
[33.7490987, -84.3901849]
