

















[57.043610,10.020833]























[53.764599,-2.358000]




















[51.451973,-0.462198]


















[52.314167,4.941945]


[54.493137,18.531214]



[64.317703,-22.059799]


















































[-34.606110,-58.472500]




[53.040375,-1.121119]









[55.185200,-1.550500]





















[53.427601,-7.919130]









[51.503460,0.252892]
























[50.772999,-1.656900]








[51.411999,-3.265000]





















[51.621815,0.403278]


[52.411961,12.503612]




[53.758854,-1.776203]




















[38.752666,-9.184711]












[53.224201,-4.131390]









[50.786987,-0.690233]










[52.076836,-0.266931]


[54.602161,-1.285681]

[52.475555,-1.867778]

[54.599728,-1.281812]








[51.252270,-1.110308]








[53.728569,-2.489206]



























[51.390068,0.021075]




[53.224201,-4.131390]










[-34.635601,-58.364700]








[53.471340,-2.960586]




[52.991657,-0.038094]


[41.162193,-8.642572]

[51.661945,-0.272222]
































[54.638020,-1.692708]


























[51.963673,-0.430173]

[51.875320,0.572956]








[53.604580,-2.845300]







































[52.248878,0.721058]


























































[51.753223,0.451447]

[53.547554,-2.143955]













[51.694397,-0.041660]




















[54.714588,-1.751153]



















[53.282269,-3.699639]


























[50.804562,12.938753]


[51.372139,-0.287179]








[52.507885,-0.716654]


[53.161743,-2.220836]













[53.547600,-0.122754]

[53.547600,-0.122754]


[51.369698,-0.171808]














[51.126862,-0.074791]



[53.087223,-2.435555]


[53.493073,-2.115608]






















[50.792149,-3.641878]














[42.211666,-8.739722]
















[51.364685,1.129911]









[-19.922186,-43.949867]

























































[52.380844,1.097169]







































[51.246861,-0.327202]







[-34.667500,-58.368610]
[52.275452,-1.601606]

[52.445343,-0.829247]


[51.892776,-0.539167]










